y,x,abundance.1,abundance.2,abundance.3,elevation,forest,water,wind.1,wind.2,wind.3
223237.8788,556645.1897,0,0,0,940,37,5,23.2,22.5,23.4
219737.2383,571650.7222,1,1,1,530,35,5,23.4,23.1,23.3
296751.3307,474114.761,0,0,0,352,36,31,22.9,24,22.1
282248.6769,611665.4755,0,0,0,1008,33,5,23.8,24.3,24.5
297751.5137,574151.6443,0,1,1,853,33,5,21.5,23.5,23.8
218737.0552,513129.1455,0,0,0,358,32,5,20.2,23.6,24
269246.2977,563147.5871,5,5,6,1279,37,5,21.4,20.7,22.7
257744.193,544140.5793,1,1,0,742,33,5,21.5,22.3,24.4
279748.2194,616167.1353,1,1,1,1097,34,5,21.1,22.8,24.9
219737.2383,520631.9117,3,4,0,436,38,5,21,20.8,23.5
262245.0165,471613.8389,0,0,0,590,38,5,21.1,24.6,21.2
243741.6307,503125.4572,0,0,0,267,35,59,24.6,20.8,23.2
289249.958,471113.6545,0,0,0,139,0,65,21.4,23,20.5
297251.4222,491621.2156,0,0,0,422,26,5,24.4,21.7,20.1
286249.409,510128.039,0,0,0,702,7,5,21,22.1,24.4
306753.1608,474114.761,0,0,0,120,35,5,21.8,24.7,24.8
297751.5137,483618.2649,0,0,0,94,0,69,20.6,21.9,23.1
319755.5401,493621.9532,0,0,0,371,32,5,21.1,21.6,24.8
290250.141,452106.6467,0,0,0,353,36,5,22.4,23.4,20.5
305252.8863,542640.0261,0,0,0,563,13,32,24.4,21.5,23.3
255743.8269,583154.9638,0,1,1,761,27,5,20.5,24.3,23.2
222737.7873,566648.8781,1,1,2,765,39,5,24.6,20.1,22.2
240240.9901,485619.0026,0,0,0,395,31,5,24.1,23.6,21.7
279748.2194,473614.5766,0,0,0,210,0,51,24,21.9,21.7
324756.4552,493621.9532,0,0,0,362,35,5,25,20.2,23.2
249742.7288,458609.0441,0,0,0,367,31,5,20.4,23,22
209235.3166,524633.3871,0,2,0,612,42,5,23.5,20.9,24.8
338759.0174,486119.187,0,0,0,176,18,5,20.8,24.7,22.6
355762.1287,501124.7195,1,0,1,879,30,5,21.8,23.2,20.2
267245.9316,547641.8702,0,1,1,806,37,5,24.4,21.1,24.7
267245.9316,534637.0754,3,3,2,950,30,5,23.9,20.6,20.8
279248.1278,513629.3299,0,0,0,716,31,5,21.9,22,21.1
