,northing,easting,elevation,forest
1,54276,910942,340,6
2,55276,910942,340,11
3,54276,911942,380,4
4,55276,911942,390,72
5,56276,911942,357,9
6,57276,911942,357,5
7,61276,911942,500,0
8,62276,911942,472,43
9,63276,911942,462,6
10,64276,911942,472,0
11,55276,912942,401,30
12,56276,912942,362,12
13,57276,912942,367,4
14,58276,912942,379,5
15,59276,912942,382,12
16,61276,912942,483,0
17,62276,912942,464,30
18,63276,912942,456,14
19,64276,912942,450,4
20,56276,913942,390,2
21,57276,913942,414,8
22,58276,913942,411,2
23,59276,913942,364,7
24,60276,913942,394,7
25,61276,913942,422,2
26,62276,913942,435,28
27,63276,913942,416,33
28,64276,913942,420,22
29,65276,913942,430,2
30,56276,914942,408,5
31,57276,914942,425,1
32,58276,914942,426,0
33,59276,914942,415,21
34,60276,914942,369,15
35,61276,914942,393,36
36,62276,914942,425,27
37,63276,914942,455,27
38,64276,914942,449,60
39,65276,914942,428,29
40,55276,915942,431,1
41,56276,915942,436,6
42,57276,915942,436,0
43,58276,915942,431,6
44,59276,915942,428,16
45,60276,915942,365,27
46,61276,915942,391,1
47,62276,915942,418,18
48,63276,915942,461,0
49,64276,915942,487,4
50,65276,915942,451,13
51,66276,915942,436,3
52,55276,916942,447,5
53,56276,916942,445,0
54,57276,916942,439,1
55,58276,916942,442,0
56,59276,916942,434,4
57,60276,916942,406,37
58,61276,916942,372,30
59,62276,916942,394,8
60,63276,916942,416,3
61,64276,916942,456,1
62,65276,916942,479,1
63,66276,916942,448,0
64,55276,917942,457,0
65,56276,917942,449,0
66,57276,917942,452,7
67,58276,917942,453,20
68,59276,917942,433,5
69,60276,917942,412,38
70,61276,917942,376,9
71,62276,917942,377,5
72,63276,917942,412,55
73,64276,917942,417,2
74,65276,917942,435,1
75,66276,917942,455,0
76,57276,918942,421,2
77,58276,918942,453,0
78,59276,918942,441,0
79,60276,918942,406,10
80,61276,918942,398,40
81,62276,918942,384,3
82,63276,918942,419,52
83,64276,918942,426,0
84,65276,918942,420,0
85,66276,918942,436,2
86,67276,918942,450,17
87,56276,919942,424,3
88,57276,919942,416,5
89,58276,919942,422,0
90,59276,919942,464,0
91,60276,919942,417,2
92,61276,919942,402,37
93,62276,919942,388,33
94,63276,919942,422,7
95,64276,919942,433,0
96,65276,919942,435,1
97,66276,919942,421,6
98,67276,919942,426,6
99,86276,919942,1306,17
100,87276,919942,1311,5
101,56276,920942,441,0
102,57276,920942,433,0
103,58276,920942,408,4
104,59276,920942,425,2
105,60276,920942,428,0
106,61276,920942,412,51
107,62276,920942,397,19
108,63276,920942,389,17
109,64276,920942,437,1
110,65276,920942,435,1
111,66276,920942,435,1
112,67276,920942,425,7
113,86276,920942,1348,6
114,87276,920942,1388,34
115,88276,920942,1290,16
116,89276,920942,1236,0
117,90276,920942,1235,34
118,91276,920942,1208,19
119,92276,920942,1169,7
120,56276,921942,466,0
121,57276,921942,439,0
122,58276,921942,406,0
