,northing,easting,elevation,forest,water
1,54276,910942,340,6,0
2,55276,910942,340,11,1
3,54276,911942,380,4,0
4,55276,911942,390,72,3
5,56276,911942,357,9,7
6,57276,911942,357,5,5
7,61276,911942,500,0,0
8,62276,911942,472,43,0
9,63276,911942,462,6,0
10,64276,911942,472,0,0
11,55276,912942,401,30,0
12,56276,912942,362,12,0
13,57276,912942,367,4,0
14,58276,912942,379,5,7
15,59276,912942,382,12,9
16,61276,912942,483,0,0
17,62276,912942,464,30,0
18,63276,912942,456,14,0
19,64276,912942,450,4,0
20,56276,913942,390,2,1
21,57276,913942,414,8,0
22,58276,913942,411,2,0
23,59276,913942,364,7,9
24,60276,913942,394,7,4
25,61276,913942,422,2,0
26,62276,913942,435,28,3
27,63276,913942,416,33,1
28,64276,913942,420,22,1
29,65276,913942,430,2,0
30,56276,914942,408,5,0
31,57276,914942,425,1,0
32,58276,914942,426,0,0
33,59276,914942,415,21,8
34,60276,914942,369,15,2
35,61276,914942,393,36,5
36,62276,914942,425,27,5
37,63276,914942,455,27,0
38,64276,914942,449,60,0
39,65276,914942,428,29,0
40,55276,915942,431,1,0
41,56276,915942,436,6,1
42,57276,915942,436,0,0
43,58276,915942,431,6,0
44,59276,915942,428,16,0
45,60276,915942,365,27,16
46,61276,915942,391,1,0
47,62276,915942,418,18,0
48,63276,915942,461,0,0
49,64276,915942,487,4,0
50,65276,915942,451,13,0
51,66276,915942,436,3,0
52,55276,916942,447,5,0
53,56276,916942,445,0,0
54,57276,916942,439,1,1
55,58276,916942,442,0,0
56,59276,916942,434,4,0
57,60276,916942,406,37,2
58,61276,916942,372,30,17
59,62276,916942,394,8,22
60,63276,916942,416,3,0
61,64276,916942,456,1,0
62,65276,916942,479,1,0
63,66276,916942,448,0,0
64,55276,917942,457,0,0
65,56276,917942,449,0,0
66,57276,917942,452,7,0
67,58276,917942,453,20,0
68,59276,917942,433,5,0
69,60276,917942,412,38,0
70,61276,917942,376,9,17
71,62276,917942,377,5,15
72,63276,917942,412,55,1
73,64276,917942,417,2,2
74,65276,917942,435,1,0
75,66276,917942,455,0,0
76,57276,918942,421,2,0
77,58276,918942,453,0,0
78,59276,918942,441,0,0
79,60276,918942,406,10,0
80,61276,918942,398,40,21
81,62276,918942,384,3,0
82,63276,918942,419,52,0
83,64276,918942,426,0,0
84,65276,918942,420,0,0
85,66276,918942,436,2,0
86,67276,918942,450,17,0
87,56276,919942,424,3,0
88,57276,919942,416,5,3
89,58276,919942,422,0,1
90,59276,919942,464,0,0
91,60276,919942,417,2,0
92,61276,919942,402,37,3
93,62276,919942,388,33,19
94,63276,919942,422,7,0
95,64276,919942,433,0,0
96,65276,919942,435,1,0
97,66276,919942,421,6,0
98,67276,919942,426,6,0
99,86276,919942,1306,17,0
100,87276,919942,1311,5,0
101,56276,920942,441,0,0
102,57276,920942,433,0,0
103,58276,920942,408,4,2
104,59276,920942,425,2,0
105,60276,920942,428,0,0
106,61276,920942,412,51,5
107,62276,920942,397,19,14
108,63276,920942,389,17,13
109,64276,920942,437,1,0
110,65276,920942,435,1,0
111,66276,920942,435,1,0
112,67276,920942,425,7,1
113,86276,920942,1348,6,0
114,87276,920942,1388,34,0
115,88276,920942,1290,16,0
116,89276,920942,1236,0,0
117,90276,920942,1235,34,0
118,91276,920942,1208,19,0
119,92276,920942,1169,7,0
120,56276,921942,466,0,0
121,57276,921942,439,0,0
122,58276,921942,406,0,0
123,59276,921942,401,5,2
124,60276,921942,426,0,0
125,61276,921942,396,30,10
126,62276,921942,399,10,5
127,63276,921942,406,41,10
128,64276,921942,416,12,0
129,65276,921942,425,1,0
130,66276,921942,429,3,0
131,67276,921942,429,0,0
132,85276,921942,1389,8,0
133,86276,921942,1473,21,0
134,87276,921942,1467,67,0
135,88276,921942,1411,39,0
136,89276,921942,1248,13,0
137,90276,921942,1231,69,0
138,91276,921942,1280,54,0
139,92276,921942,1223,26,0
140,93276,921942,1192,9,0
141,56276,922942,471,0,0
142,57276,922942,459,0,0
143,58276,922942,417,0,0
144,59276,922942,399,4,0
145,60276,922942,415,4,0
146,61276,922942,419,2,0
147,62276,922942,405,15,11
148,63276,922942,450,0,0
149,64276,922942,427,1,0
150,65276,922942,425,1,0
151,66276,922942,421,0,0
152,67276,922942,420,0,0
153,69276,922942,433,0,0
154,70276,922942,452,0,1
155,71276,922942,466,6,0
156,72276,922942,472,22,0
157,84276,922942,1210,17,0
158,85276,922942,1301,71,0
159,86276,922942,1461,64,0
160,87276,922942,1450,13,0
161,88276,922942,1509,39,0
162,89276,922942,1331,87,0
163,90276,922942,1208,19,0
164,91276,922942,1288,76,0
165,92276,922942,1295,25,0
166,93276,922942,1356,55,0
167,94276,922942,1308,61,0
168,95276,922942,1186,18,0
