y,x,elevation,forest,water
372765.24,484618.6337,573,48,5
372265.1485,484118.4493,502,47,5
372265.1485,484618.6337,761,48,5
372265.1485,499123.9818,942,42,5
372265.1485,499624.1662,688,43,5
372265.1485,500124.3507,524,34,5
371765.057,483618.2649,484,43,5
371765.057,484118.4493,550,46,5
371765.057,484618.6337,669,47,5
371765.057,498623.7974,1268,41,5
371765.057,499123.9818,1184,37,5
371765.057,499624.1662,1083,42,5
371765.057,500124.3507,1042,43,5
371765.057,500624.5351,889,42,5
371264.9655,482617.8961,226,39,5
371264.9655,483118.0805,565,36,5
371264.9655,483618.2649,565,36,5
371264.9655,484118.4493,640,30,5
371264.9655,484618.6337,633,35,5
371264.9655,498123.613,1192,31,5
371264.9655,498623.7974,1169,30,5
371264.9655,499123.9818,1013,33,5
371264.9655,499624.1662,949,35,5
371264.9655,500124.3507,923,32,5
371264.9655,500624.5351,882,34,5
371264.9655,501124.7195,807,39,5
370764.874,481617.5272,223,33,5
370764.874,482117.7117,243,30,5
370764.874,482617.8961,226,33,5
370764.874,483118.0805,565,34,5
370764.874,483618.2649,565,34,5
370764.874,484118.4493,640,41,5
370764.874,484618.6337,633,43,5
370764.874,497623.4286,1138,46,5
370764.874,498123.613,1107,29,5
370764.874,498623.7974,1004,33,5
370764.874,499123.9818,902,30,5
370764.874,499624.1662,833,34,5
370764.874,500124.3507,803,26,5
370764.874,500624.5351,844,30,5
370764.874,501124.7195,975,38,5
370764.874,501624.9039,747,38,5
370264.7825,481117.3428,243,38,5
370264.7825,481617.5272,336,37,5
370264.7825,482117.7117,392,41,5
370264.7825,482617.8961,443,33,5
370264.7825,483118.0805,534,35,5
370264.7825,483618.2649,534,35,5
370264.7825,484118.4493,571,37,5
370264.7825,484618.6337,479,35,5
370264.7825,497123.2442,921,45,5
370264.7825,497623.4286,1138,45,5
370264.7825,498123.613,1107,41,5
370264.7825,498623.7974,1004,32,5
370264.7825,499123.9818,902,34,5
370264.7825,499624.1662,833,30,5
370264.7825,500124.3507,803,31,5
370264.7825,500624.5351,844,32,5
370264.7825,501124.7195,975,36,5
370264.7825,501624.9039,747,36,5
370264.7825,502125.0883,747,34,5
369764.691,480617.1584,342,37,5
369764.691,481117.3428,343,43,5
369764.691,481617.5272,409,42,5
369764.691,482117.7117,546,31,5
369764.691,482617.8961,609,37,5
369764.691,483118.0805,538,34,5
369764.691,483618.2649,538,34,5
369764.691,484118.4493,480,35,5
369764.691,484618.6337,466,40,5
369764.691,496623.0597,1006,35,5
369764.691,497123.2442,1006,35,5
369764.691,497623.4286,1077,32,5
369764.691,498123.613,972,35,5
369764.691,498623.7974,881,30,5
369764.691,499123.9818,822,28,5
369764.691,499624.1662,782,32,5
369764.691,500124.3507,731,37,5
369764.691,500624.5351,795,38,5
369764.691,501124.7195,1000,35,5
369764.691,501624.9039,1027,35,5
369764.691,502125.0883,1027,31,5
369764.691,502625.2727,798,33,5
369264.5995,480116.974,295,37,5
369264.5995,480617.1584,457,45,5
369264.5995,481117.3428,568,39,5
369264.5995,481617.5272,655,37,5
369264.5995,482117.7117,716,31,5
369264.5995,482617.8961,569,40,5
369264.5995,483118.0805,499,31,5
369264.5995,483618.2649,499,31,5
369264.5995,484118.4493,399,44,5
369264.5995,496122.8753,1028,35,5
369264.5995,496623.0597,1013,32,5
369264.5995,497123.2442,1013,32,5
369264.5995,497623.4286,953,30,5
369264.5995,498123.613,894,29,5
369264.5995,498623.7974,820,30,5
369264.5995,499123.9818,868,40,5
369264.5995,499624.1662,834,33,5
369264.5995,500124.3507,720,35,5
369264.5995,500624.5351,783,40,5
369264.5995,501124.7195,959,34,5
369264.5995,501624.9039,1025,34,5
369264.5995,502125.0883,1025,29,5
369264.5995,502625.2727,1041,36,5
369264.5995,503125.4572,853,40,5
368764.508,480116.974,417,37,5
368764.508,480617.1584,567,45,5
368764.508,481117.3428,791,39,5
368764.508,481617.5272,854,37,5
368764.508,482117.7117,716,31,5
368764.508,482617.8961,519,40,5
368764.508,483118.0805,382,31,5
368764.508,483618.2649,382,31,5
368764.508,484118.4493,443,44,5
368764.508,495622.6909,849,48,5
368764.508,496122.8753,967,35,5
368764.508,496623.0597,1013,32,5
368764.508,497123.2442,1013,32,5
368764.508,497623.4286,1006,30,5
368764.508,498123.613,926,29,5
368764.508,498623.7974,791,30,5
368764.508,499123.9818,841,40,5
368764.508,499624.1662,746,33,5
368764.508,500124.3507,636,35,5
368764.508,500624.5351,857,40,5
368764.508,501124.7195,855,34,5
368764.508,501624.9039,980,34,5
368764.508,502125.0883,980,29,5
368764.508,502625.2727,1082,36,5
368764.508,503125.4572,1015,40,5
368764.508,503625.6416,692,42,5
